Unnamed: 0	snps_counts	position	types	type
[3700000, 3800000)	0	3750000	synonymous_variant	Style2
[3800000, 3900000)	0	3850000	synonymous_variant	Style2
[3900000, 4000000)	0	3950000	synonymous_variant	Style2
[2500000, 2600000)	0	2550000	synonymous_variant	Style2
[2000000, 2100000)	0	2050000	synonymous_variant	Style2
[2300000, 2400000)	0	2350000	synonymous_variant	Style2
[1000000, 1100000)	0	1050000	synonymous_variant	Style2
[300000, 400000)	0	350000	synonymous_variant	Style2
[400000, 500000)	0	450000	synonymous_variant	Style2
[500000, 600000)	0	550000	synonymous_variant	Style2
[600000, 700000)	0	650000	synonymous_variant	Style2
[700000, 800000)	0	750000	synonymous_variant	Style2
[800000, 900000)	0	850000	synonymous_variant	Style2
[1400000, 1500000)	0	1450000	synonymous_variant	Style2
[2200000, 2300000)	0	2250000	synonymous_variant	Style2
[1500000, 1600000)	0	1550000	synonymous_variant	Style2
[1600000, 1700000)	0	1650000	synonymous_variant	Style2
[1700000, 1800000)	0	1750000	synonymous_variant	Style2
[1900000, 2000000)	0	1950000	synonymous_variant	Style2
[100000, 200000)	0	150000	synonymous_variant	Style2
[2100000, 2200000)	0	2150000	synonymous_variant	Style2
[4000000, 4100000)	0	4050000	synonymous_variant	Style2
[2900000, 3000000)	34	2937000	nonsynonymous_variant	Style2
[3000000, 3100000)	16	3037000	nonsynonymous_variant	Style2
[1300000, 1400000)	16	1337000	nonsynonymous_variant	Style2
[2000000, 2100000)	2	2037000	nonsynonymous_variant	Style2
[300000, 400000)	2	337000	nonsynonymous_variant	Style2
[500000, 600000)	2	537000	nonsynonymous_variant	Style2
[2400000, 2500000)	2	2437000	nonsynonymous_variant	Style2
[1700000, 1800000)	1	1737000	nonsynonymous_variant	Style2
[3800000, 3900000)	1	3837000	nonsynonymous_variant	Style2
[3400000, 3500000)	1	3437000	nonsynonymous_variant	Style2
[3200000, 3300000)	1	3237000	nonsynonymous_variant	Style2
[2600000, 2700000)	1	2637000	nonsynonymous_variant	Style2
[2200000, 2300000)	1	2237000	nonsynonymous_variant	Style2
[2100000, 2200000)	1	2137000	nonsynonymous_variant	Style2
[1800000, 1900000)	1	1837000	nonsynonymous_variant	Style2
[0, 100000)	1	37000	nonsynonymous_variant	Style2
[1400000, 1500000)	1	1437000	nonsynonymous_variant	Style2
[1600000, 1700000)	0	1637000	nonsynonymous_variant	Style2
[800000, 900000)	0	837000	nonsynonymous_variant	Style2
[3900000, 4000000)	0	3937000	nonsynonymous_variant	Style2
[200000, 300000)	0	237000	nonsynonymous_variant	Style2
[3700000, 3800000)	0	3737000	nonsynonymous_variant	Style2
[3600000, 3700000)	0	3637000	nonsynonymous_variant	Style2
[3500000, 3600000)	0	3537000	nonsynonymous_variant	Style2
[400000, 500000)	0	437000	nonsynonymous_variant	Style2
[3300000, 3400000)	0	3337000	nonsynonymous_variant	Style2
[600000, 700000)	0	637000	nonsynonymous_variant	Style2
[3100000, 3200000)	0	3137000	nonsynonymous_variant	Style2
[700000, 800000)	0	737000	nonsynonymous_variant	Style2
[2800000, 2900000)	0	2837000	nonsynonymous_variant	Style2
[1500000, 1600000)	0	1537000	nonsynonymous_variant	Style2
[2700000, 2800000)	0	2737000	nonsynonymous_variant	Style2
[900000, 1000000)	0	937000	nonsynonymous_variant	Style2
[2500000, 2600000)	0	2537000	nonsynonymous_variant	Style2
[1000000, 1100000)	0	1037000	nonsynonymous_variant	Style2
[2300000, 2400000)	0	2337000	nonsynonymous_variant	Style2
[1100000, 1200000)	0	1137000	nonsynonymous_variant	Style2
[1200000, 1300000)	0	1237000	nonsynonymous_variant	Style2
[100000, 200000)	0	137000	nonsynonymous_variant	Style2
[1900000, 2000000)	0	1937000	nonsynonymous_variant	Style2
[4000000, 4100000)	0	4037000	nonsynonymous_variant	Style2
